1000	0.148	0.148	0.000
1850	0.172	0.148	0.024
1860	0.174	0.176	-0.002
1870	0.181	0.201	-0.02
1880	0.191	0.263	-0.072
1890	0.237	0.323	-0.086
1900	0.242	0.354	-0.112
1910	0.294	0.425	-0.131
1920	0.383	0.483	-0.1
1930	0.481	0.558	-0.077
1940	0.565	0.609	-0.044
1950	0.546	0.618	-0.072
1960	0.622	0.716	-0.094
1970	0.827	0.862	-0.035
1980	1.148	1.085	0.063
1990	1.517	1.32	0.197
2000	1.723	1.543	0.18
2005	1.871	1.69	0.181
2010	2.138	1.838	0.300
2020	2.623	2.160	0.463
2030	3.015	2.488	0.527
2040	3.395	2.813	0.582
2050	3.675	3.119	0.556
2060	3.891	3.384	0.507
2070	4.070	3.598	0.472
2080	4.203	3.749	0.454
2090	4.273	3.821	0.452
2100	4.281	3.833	0.448
9999	4.281	3.833	0.448
