1000	0.172	0.148	0.024
1850	0.172	0.148	0.024
1860	0.174	0.176	-0.002
1870	0.181	0.201	-0.02
1880	0.191	0.263	-0.072
1890	0.237	0.323	-0.086
1900	0.242	0.354	-0.112
1910	0.294	0.425	-0.131
1920	0.383	0.483	-0.1
1930	0.481	0.558	-0.077
1940	0.565	0.609	-0.044
1950	0.546	0.618	-0.072
1960	0.622	0.716	-0.094
1970	0.827	0.862	-0.035
1980	1.148	1.085	0.063
1990	1.517	1.32	0.197
2000	1.723	1.543	0.18
2005	1.904	1.69	0.214
2010	2.129	1.84	0.289
2020	2.584	2.154	0.43
2030	2.862	2.395	0.467
2040	2.999	2.513	0.486
2050	2.998	2.548	0.45
2060	2.918	2.541	0.377
2070	2.854	2.495	0.359
2080	2.808	2.429	0.379
2090	2.759	2.365	0.394
2100	2.714	2.307	0.407
3000	2.714	2.307	0.407
