1000	0.148	0.148	0.000
1850	0.172	0.148	0.024
1860	0.174	0.176	-0.002
1870	0.181	0.201	-0.02
1880	0.191	0.263	-0.072
1890	0.237	0.323	-0.086
1900	0.242	0.354	-0.112
1910	0.294	0.425	-0.131
1920	0.383	0.483	-0.1
1930	0.481	0.558	-0.077
1940	0.565	0.609	-0.044
1950	0.546	0.618	-0.072
1960	0.622	0.716	-0.094
1970	0.827	0.862	-0.035
1980	1.148	1.085	0.063
1990	1.517	1.32	0.197
2000	1.723	1.543	0.18
2005	1.871	1.69	0.181
2010	2.135	1.838	0.297
2020	2.551	2.158	0.393
2030	2.931	2.434	0.497
2040	3.092	2.624	0.468
2050	3.125	2.723	0.402
2060	3.09	2.748	0.342
2070	3.024	2.722	0.302
2080	2.916	2.643	0.273
2090	2.769	2.514	0.255
2100	2.637	2.38	0.257
9999	2.637	2.38	0.257
